Loan_Institution_Past6M,Overdue_Num_Past6M,Overdue_Day_Past6M,Overdue_Day_Max_Past6M,CA_Institution_Past6M,CA_Institution_Max_Past6M,CA_UseAmount_Past6M,Card_UseAmount_Past6M,Age,Gender,Target,Long_Overdue
3,0,0,0,0,0,0,7606,52,1,0,0
2,0,0,0,0,0,0,16697,52,1,3,1
3,9,455,0,0,0,0,14379,52,1,1,1
4,1,9,0,0,0,0,0,52,1,0,0
4,0,0,0,0,0,0,0,52,1,1,1
1,0,0,0,0,0,40950,24362,52,2,1,1
0,0,0,0,0,0,6670,7003,52,1,0,0
1,0,0,0,0,0,490,109,52,1,0,0
1,0,0,0,0,0,0,3175,52,2,0,0
3,0,0,0,1,1,300,2373,52,2,0,0
0,0,0,0,0,0,0,0,53,2,1,1
0,35,809,0,2,2,1880,8134,53,2,1,1
2,0,0,0,0,0,0,4226,53,1,1,1
1,0,0,0,0,0,22110,11381,53,2,1,1
1,0,0,0,1,1,9600,10904,53,2,2,1
2,0,0,0,0,0,19350,24169,53,1,0,0
1,0,0,0,1,1,24400,18898,53,1,2,1
1,0,0,0,0,0,0,5339,53,1,0,0
2,0,0,0,0,0,0,43575,53,1,0,0
0,1,16,0,0,0,0,50418,53,1,1,1
0,0,0,0,0,0,0,3371,53,2,1,1
3,0,0,0,0,0,0,32287,53,1,0,0
1,0,0,0,2,2,18700,25981,53,1,1,1
1,2,20,0,0,0,13950,7148,53,1,1,1
0,0,0,0,0,0,27110,9931,53,2,1,1
2,0,0,0,0,0,0,0,53,1,1,1
1,4,33,0,0,0,16500,9789,53,1,0,0
2,2,46,0,2,2,8490,20861,53,2,1,1
1,2,28,0,0,0,8500,16413,53,2,2,1
2,2,46,0,2,2,6990,18271,53,2,1,1
0,4,264,0,2,2,6290,8483,53,2,1,1
2,0,0,0,0,0,0,0,53,1,1,1
0,0,0,0,0,0,1100,255,53,1,1,1
1,0,0,0,0,0,1700,1517,53,1,0,0
1,0,0,0,0,0,700,562,53,1,1,1
0,2,406,0,0,0,0,67,53,1,1,1
0,0,0,0,0,0,23060,18120,53,2,2,1
1,0,0,0,3,3,27950,20829,53,2,1,1
0,1,9,0,0,1,25390,5797,53,1,1,1
0,0,0,0,0,0,0,0,53,2,1,1
3,0,0,0,0,0,0,29664,53,1,0,0
1,0,0,0,0,0,7010,31877,54,2,1,1
2,0,0,0,1,0,41000,16573,54,1,0,0
0,0,0,0,0,0,57060,10611,54,1,1,1
1,0,0,0,0,0,4100,4261,54,1,1,1
0,1,12,0,1,1,9200,30765,54,1,1,1
1,0,0,0,0,0,1500,24849,54,2,0,0
0,0,0,0,0,0,1500,23762,54,2,0,0
1,0,0,0,0,0,4700,23624,54,2,0,0
2,0,0,0,0,0,0,18621,54,1,1,1
0,0,0,0,0,0,10490,3470,54,2,1,1
1,0,0,0,0,2,29230,8785,55,2,1,1
0,4,54,0,0,2,11820,17120,55,2,2,1
0,0,0,0,0,2,27930,11051,55,2,1,1
1,4,54,0,0,2,9370,16515,55,2,1,1
3,0,0,0,1,0,9360,11944,55,1,1,1
0,0,0,0,2,1,9300,6821,55,1,1,1
1,0,0,0,0,0,6100,8939,55,2,0,0
2,0,0,0,0,0,10300,8098,55,2,0,0
1,0,0,0,0,0,5400,8022,55,2,0,0
0,0,0,0,0,0,0,0,55,2,0,0
0,0,0,0,0,0,0,0,55,2,0,0
2,8,81,0,3,3,13140,15843,55,1,2,1
